timestamp_sim,timestamp_wall,event,joint_positions,ee_position,gripper_state,package_id
7.25,1786774894.2773,sample,"[1.63184, -1.49716, 1.89207, -2.26709, 4.65654, 0.0]","[-6.50188, -0.09992, 2.31344]",open,
7.35,1786774894.427,sample,"[1.63184, -1.49734, 1.89207, -2.26709, 4.65653, 0.0]","[-6.50187, -0.09998, 2.31357]",open,
7.45,1786774894.5731,sample,"[1.63184, -1.4974, 1.89207, -2.26709, 4.65653, 0.0]","[-6.50187, -0.1, 2.31361]",open,
7.55,1786774894.7218,sample,"[1.63184, -1.49744, 1.89207, -2.26709, 4.65653, 0.0]","[-6.50187, -0.10002, 2.31364]",open,
7.65,1786774894.8666,sample,"[1.63184, -1.49745, 1.89207, -2.26709, 4.65653, 0.0]","[-6.50187, -0.10002, 2.31365]",open,
7.75,1786774895.0098,sample,"[1.63184, -1.49745, 1.89207, -2.26709, 4.65652, 0.0]","[-6.50187, -0.10002, 2.31365]",open,
7.85,1786774895.158,sample,"[1.63184, -1.49745, 1.89207, -2.26709, 4.65652, 0.0]","[-6.50187, -0.10002, 2.31365]",open,
7.95,1786774895.304,sample,"[1.63184, -1.49745, 1.89207, -2.26709, 4.65652, 0.0]","[-6.50187, -0.10002, 2.31365]",open,
8.05,1786774895.4548,sample,"[1.63184, -1.49745, 1.89207, -2.26709, 4.65652, 0.0]","[-6.50187, -0.10002, 2.31365]",open,
8.15,1786774895.6028,sample,"[1.63184, -1.49745, 1.89207, -2.26709, 4.65652, 0.0]","[-6.50187, -0.10002, 2.31365]",open,
8.25,1786774895.7453,sample,"[1.63184, -1.49745, 1.89207, -2.26709, 4.65652, 0.0]","[-6.50187, -0.10002, 2.31365]",open,
8.35,1786774895.8777,sample,"[1.63184, -1.49745, 1.89207, -2.26709, 4.65652, 0.0]","[-6.50187, -0.10002, 2.31365]",open,
8.45,1786774896.0066,sample,"[1.63184, -1.49745, 1.89207, -2.26709, 4.65652, 0.0]","[-6.50187, -0.10002, 2.31365]",open,
8.55,1786774896.1388,sample,"[1.63184, -1.49745, 1.89207, -2.26709, 4.65652, 0.0]","[-6.50187, -0.10002, 2.31365]",open,
8.65,1786774896.2711,sample,"[1.63184, -1.49745, 1.89207, -2.26709, 4.65652, 0.0]","[-6.50187, -0.10002, 2.31365]",open,
8.75,1786774896.396,sample,"[1.63184, -1.49745, 1.89207, -2.26709, 4.65652, 0.0]","[-6.50187, -0.10002, 2.31365]",open,
8.85,1786774896.5202,sample,"[1.63184, -1.49745, 1.89207, -2.26709, 4.65652, 0.0]","[-6.50187, -0.10002, 2.31365]",open,
8.95,1786774896.641,sample,"[1.63184, -1.49745, 1.89207, -2.26709, 4.65652, 0.0]","[-6.50187, -0.10002, 2.31365]",open,
9.05,1786774896.7622,sample,"[1.63184, -1.49745, 1.89207, -2.26709, 4.65652, 0.0]","[-6.50187, -0.10002, 2.31365]",open,
9.15,1786774896.8901,sample,"[1.63184, -1.49745, 1.89207, -2.26709, 4.65652, 0.0]","[-6.50187, -0.10002, 2.31365]",open,
9.25,1786774897.0261,sample,"[1.63185, -1.4931, 1.89207, -2.26709, 4.65651, 0.0]","[-6.50196, -0.09857, 2.31055]",open,
9.35,1786774897.1464,sample,"[1.63185, -1.46637, 1.89209, -2.26709, 4.65651, 0.0]","[-6.5025, -0.08993, 2.29138]",open,
9.45,1786774897.2667,sample,"[1.63184, -1.4544, 1.89208, -2.26709, 4.65651, 0.0]","[-6.50272, -0.08622, 2.28273]",open,
9.55,1786774897.3885,sample,"[1.63184, -1.45, 1.89207, -2.26709, 4.65651, 0.0]","[-6.50279, -0.08488, 2.27955]",open,
9.65,1786774897.5104,sample,"[1.63184, -1.44839, 1.89207, -2.26709, 4.65651, 0.0]","[-6.50282, -0.08439, 2.27837]",open,
